id,primary_level,levels,surface,reading_kana,alt_readings,meaning_ko,meaning_ko_variants,part_of_speech,entry_type,include_in_app,source_ids,source_entry_ids,source_entry_count,sections,existing_word_id,existing_level,qa_status,qa_note
w_8d6bf3b328f7ed9d,N3,N3,呼吸,こきゅう,,호흡,호흡,noun,word,1,mkt_n3;pass_n3,mkt_n3_p013_o0305;pass_n3_p006_o0080,2,명사;한자 읽기,w_8d6bf3b328f7ed9d,N3,verified,
w_e39036bb3cd57b8d,N3,N3,命令,めいれい,,명령,명령,noun,word,1,mkt_n3,mkt_n3_p018_o0469,1,명사,w_e39036bb3cd57b8d,N3,verified,
w_109578d0322cf00e,N3,N3,商品,しょうひん,,상품,상품,noun,word,1,mkt_n3;pass_n3,mkt_n3_p014_o0356;pass_n3_p006_o0112,2,명사;한자 읽기,w_109578d0322cf00e,N3,verified,
w_bb4cba11dc68b5d0,N3,N3,商売,しょうばい,,장사,장사,noun,word,1,mkt_n3,mkt_n3_p014_o0354,1,명사,w_bb4cba11dc68b5d0,N3,verified,
w_b3738cf1f976c6c4,N3,N3,商業,しょうぎょう,,상업,상업,noun,word,1,mkt_n3;pass_n3,mkt_n3_p014_o0350;pass_n3_p005_o0065,2,명사;한자 읽기,w_b3738cf1f976c6c4,N2,verified,
w_28a0a4b3ffaf3efe,N3,N3,回す,まわす,,돌리다,돌리다,verb,word,1,mkt_n3;pass_n3,mkt_n3_p005_o0114;pass_n3_p007_o0122;pass_n3_p009_o0199,3,동사;한자 읽기;한자 표기,,,verified,
w_35a9c7652aa0bf58,N3,N3,回収,かいしゅう,,회수,회수,noun,word,1,mkt_n3;pass_n3,mkt_n3_p010_o0216;pass_n3_p018_o0540,2,명사;용법,w_35a9c7652aa0bf58,N1,verified,
w_a5d67cbecc557d68,N3,N3,回収する,かいしゅうする,,회수하다,회수하다,,word,1,pass_n3,pass_n3_p016_o0465,1,유의어,,,verified,
w_351ecada89bdbe77,N3,N3,団体,だんたい,,단체,단체,noun,word,1,mkt_n3,mkt_n3_p016_o0397,1,명사,w_351ecada89bdbe77,N3,verified,
w_00fd5c7d88fb19d3,N3,N3;N1,困る,こまる,,곤란하다,곤란하다,verb,word,1,pass_n1;pass_n3,pass_n1_p019_o0538;pass_n1_p022_o0656;pass_n3_p005_o0037;pass_n3_p009_o0208,4,유의어;한자 읽기;한자 표기,w_00fd5c7d88fb19d3,N5,verified,문자 좌표 검증 완료; 선형 텍스트 레이어 순서 불일치
w_0fe02994b97b5a0f,N3,N3,囲む,かこむ,,둘러싸다,둘러싸다;포위하다,verb,word,1,mkt_n3;pass_n3,mkt_n3_p003_o0030;pass_n3_p013_o0363,2,동사;문맥 규정,w_0fe02994b97b5a0f,N3,verified,
w_047f09e5f690de59,N3,N3;N2,地元,じもと,,"출신지역,고장,현지","그고장,그지방;출신지역,고장,현지",noun,word,1,mkt_n2;mkt_n3,mkt_n2_p014_o0370;mkt_n3_p014_o0335,2,명사,w_047f09e5f690de59,N1,verified,
w_dd98e683daac860a,N3,N3,地球,ちきゅう,,지구,지구,noun,word,1,pass_n3,pass_n3_p004_o0020,1,한자 읽기,w_dd98e683daac860a,N3,verified,
w_a85a9e57a64b7ae6,N3,N3,地面,じめん,,지면,지면,noun,word,1,mkt_n3,mkt_n3_p014_o0334,1,명사,w_a85a9e57a64b7ae6,N2,verified,
w_09666ce27c774b76,N3,N3,坂道,さかみち,,비탈길,"비탈길;언덕길, 비탈길",noun,word,1,mkt_n3;pass_n3,mkt_n3_p013_o0314;pass_n3_p009_o0217,2,명사;한자 표기,,,verified,
w_391a18817462cda1,N3,N3;N2,埋める,うめる,,"묻다,메우다,채우다","묻다,메우다;묻다,메우다,채우다",verb,word,1,mkt_n2;mkt_n3,mkt_n2_p002_o0031;mkt_n3_p002_o0016,2,동사,w_391a18817462cda1,N2,verified,
w_f4b701a6d6be089d,N3,N3,基本,きほん,,기본,기본,noun,word,1,mkt_n3,mkt_n3_p011_o0257,1,명사,w_f4b701a6d6be089d,N3,verified,
w_db86cf0ffe2130a9,N3,N3,基礎,きそ,,기초,기초,noun,word,1,mkt_n3,mkt_n3_p011_o0251,1,명사,w_db86cf0ffe2130a9,N2,verified,
w_9f90bf6501647fbf,N3,N3;N1,場所,ばしょ,,장소,장소,noun,word,1,pass_n1;pass_n3,pass_n1_p023_o0670;pass_n3_p016_o0460,2,유의어,w_9f90bf6501647fbf,N4,verified,
w_acd3c9b31394526d,N3,N3,塩,しお,,소금,소금,noun,word,1,mkt_n3,mkt_n3_p013_o0321,1,명사,w_acd3c9b31394526d,N5,verified,
w_3f46b28da139c16c,N3,N3;N2,売り切れる,うりきれる,,"다팔리다,매진되다","품절되다;다팔리다,매진되다;매진되다",verb,word,1,mkt_n2;mkt_n3;pass_n3,mkt_n2_p003_o0034;mkt_n3_p002_o0017;pass_n3_p016_o0461,3,동사;유의어,w_3f46b28da139c16c,N2,verified,
w_000b1574854c2e77,N3,N3,変な,へんな,,이상한,이상한,,word,1,pass_n3,pass_n3_p016_o0470,1,유의어,,,verified,
w_721897ea7436088b,N3,N3,変化,へんか,,변화,변화,noun,word,1,mkt_n3;pass_n3,mkt_n3_p018_o0456;pass_n3_p006_o0091,2,명사;한자 읽기,w_721897ea7436088b,N3,verified,
w_51b2118b5ba1fdd3,N3,N3,外科,げか,,외과,외과,noun,word,1,mkt_n3;pass_n3,mkt_n3_p012_o0280;pass_n3_p005_o0044,2,명사;한자 읽기,w_51b2118b5ba1fdd3,N2,verified,
w_d19dc140ba48f4e9,N3,N3,外食,がいしょく,,외식,외식,,word,1,pass_n3,pass_n3_p011_o0266,1,문맥 규정,,,verified,
w_5d1903868c9f2e19,N3,N3,多すぎて残る,おおすぎてのこる,,너무 많아서 남다,너무 많아서 남다,,word,1,pass_n3,pass_n3_p018_o0524,1,유의어,,,verified,
w_e3819b3a806f61d1,N3,N3;N2,多少,たしょう,,다소,다소,adverb,word,1,mkt_n2;mkt_n3,mkt_n2_p018_o0488;mkt_n3_p020_o0498,2,부사,w_e3819b3a806f61d1,N3,verified,
w_2e3b4645917988e7,N3,N3,夜中,よなか,,밤중,밤중,noun,word,1,mkt_n3,mkt_n3_p019_o0485,1,명사,w_2e3b4645917988e7,N3,verified,
w_7a477584efa937ee,N3,N3,大きさ,おおきさ,,크기,크기,,word,1,pass_n3,pass_n3_p016_o0448,1,유의어,,,verified,
w_af0c5ae8a48bc5c9,N3,N3,大会,たいかい,,대회,대회,noun,word,1,mkt_n3;pass_n3,mkt_n3_p016_o0389;pass_n3_p005_o0069,2,명사;한자 읽기,w_af0c5ae8a48bc5c9,N3,verified,
w_1a3b841e60efdd0f,N3,N3,大声で怒る,おおごえでおこる,,큰 소리로 화내다,큰 소리로 화내다,,word,1,pass_n3,pass_n3_p018_o0534,1,유의어,,,verified,
w_a6d0d7928dd822e5,N3,N3,大変だ,たいへんだ,,"큰일이다, 힘들다","큰일이다, 힘들다;힘들다, 큰일이다",,word,1,pass_n3,pass_n3_p014_o0388;pass_n3_p017_o0478,2,유의어,,,verified,
