id,level,surface,reading_kana,furigana,meaning_ko,part_of_speech,card_type,example_jp,example_ko,example_jp_id,example_jp_author,example_ko_id,example_ko_author,example_license,alt_forms,disambig,source,qa_status,deprecated,tags,data_version,frequency,reading_chapter,deprecated_reason,superseded_by
w_c58699ef273c3ff5,N3,挙げる,あげる,あげる,"팔을 쳐들다, 거행하다",verb,B,慣例により[基づいて]式を挙げる.,관례에 인하여 식을 올리다,,NAVER 일본어사전 · 민중서림 엣센스 한일사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,3.810,21,,
w_f73c0b2d09afc744,N3,申込者,もうしこみしゃ,もうしこみしゃ,신청자,noun,A,申込者が溢れる。,신청자가 넘치다.,,NAVER 일본어사전 · 국립국어원 한국어-일본어 학습사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,3.750,22,,
w_fce7ea98384bf63a,N3,溜め,ため,ため,"모아 둠;그 장소, 江戸 시대에 병든 죄수를 수용하던 감옥",noun,B,溜めに落ちる,거름 구덩이에 빠지다,,NAVER 일본어사전 · 민중서림 엣센스 일한사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,3.710,22,,
w_40f815ae6b0111b0,N3,お見合い,おみあい,おみあい,맞선,noun,B,お見合いは初めてだという彼はすっかり固くなりまともに話もできなかった.,맞선이 처음이라는 그는 바싹 얼어서 제대로 말도 못했다,,NAVER 일본어사전 · 민중서림 엣센스 한일사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,3.520,24,,
w_19d69a6a3206fdc9,N1,万人,ばんにん,ばんにん,만인,noun,A,法の前には万人が平等である.,법 앞에서는 만인이 평등하다,,NAVER 일본어사전 · 민중서림 엣센스 한일사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,5.660,1,,
w_7d014ed8d66614c4,N1,出来,でき,でき,"만듦;제품, 거래, 완성된 상태;된 품",noun,A,出来はこちらがずっと下だ,만듦새는 이쪽이 훨씬 못하다,,NAVER 일본어사전 · 민중서림 엣센스 일한사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,5.540,1,,
w_9ff1fb32b264a360,N1,先に,さきに,さきに,이전에;전에;먼저,adverb,B,免職される前に私が先に会社を辞めるつもりだ.,해직당하기 전에 내가 먼저 회사를 그만둘 작정이다,,NAVER 일본어사전 · 민중서림 엣센스 한일사전,,,owner-confirmed-cleared,"[""前に"",""嚮に"",""曩に""]",,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,5.450,1,,
w_ac883acf0bc657c3,N1,デザイン,デザイン,デザイン,디자인;설계;도안,noun,D,あの劇場は、アメリカのある劇場のデザインをそっくりにコピーして設計していたことが明らかになった。,그 극장은 미국의 한 극장 디자인을 똑같이 베껴 설계된 것으로 밝혀졌다.,,NAVER 일본어사전 · 국립국어원 한국어-일본어 학습사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,5.080,1,,
w_d50b7c04a498ae55,N1,タイトル,タイトル,タイトル,"타이틀, 표제;제목, 책 이름",noun,D,彼はアンダードッグだったのか，タイトル挑戦を恐れていた,"그는 낙오자였는지, 타이틀 도전을 겁내고 있었다.",,NAVER 일본어사전 · 민중서림 엣센스 외래어사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,4.990,1,,
w_a284cec72b51a5a5,N1,アップ,アップ,アップ,"업, 상승;인상, 뒷머리를 위로 모아 올린 여자의 머리형",noun,D,一か月でアップする,한 달 만에 크랭크 업 하다,,NAVER 일본어사전 · 민중서림 엣센스 일한사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,4.950,1,,
w_a9223280c33261e0,N1,思わく,おもわく,おもわく,"생각;의도, 평판;인기, 시세 등락의 예측",noun,B,"はっきりしない態度の基底には,なにか思わくがありそうだ.",분명치 않은 태도의 밑바닥에는 무언가 의도가 깔려 있는 것 같다,,NAVER 일본어사전 · 민중서림 엣센스 한일사전,,,owner-confirmed-cleared,"[""思惑""]",,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,4.920,2,,
w_f4a2a90c98d69852,N1,自己,じこ,じこ,자기,noun,A,自己に不利な供述をする,자기에게 불리한 진술을 하다,,NAVER 일본어사전 · 민중서림 엣센스 일한사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,4.900,2,,
w_b46a8559c80c637b,N1,嫌らしい,いやらしい,いやらしい,"불쾌한 느낌이 들다;징그럽다, 의젓하지 못하다;비루하다, 외설되다;추잡하다",adjective,B,上役に色目を使う嫌らしいやつだ.,상관에게 알랑거리는 비루한 녀석이다,,NAVER 일본어사전 · 민중서림 엣센스 한일사전,,,owner-confirmed-cleared,"[""厭らしい""]",,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,4.880,2,,
w_8c41b24023a906a6,N1,メッセージ,メッセージ,メッセージ,메시지,noun,D,メッセージをスレッド別に整理する,메시지를 관련 댓글별로 정리하다,,NAVER 일본어사전 · 민중서림 엣센스 일한사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,4.810,2,,
w_865b155a62e48600,N1,無意識,むいしき,むいしき,무의식,noun,A,無意識(的)に手を引っこめる,무의식적으로 손을 움츠리다,,NAVER 일본어사전 · 민중서림 엣센스 한일사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,4.800,2,,
w_ec04d6fa6e64036f,N1,頂き,いただき,いただき,"이기는 일, 무단 도용",noun,B,この試合は頂きだ,이 시합은 (내가) 이겼다,,NAVER 일본어사전 · 민중서림 엣센스 일한사전,,,owner-confirmed-cleared,"[""戴き""]",,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,4.790,2,,
w_a464a0e959c484ff,N1,借り,かり,かり,"빌림;또, 빌린 것, 장부상의 ‘借方’의 준말",noun,B,その友達に借りがある.,그 친구에게 빚진 일이 있다,,NAVER 일본어사전 · 민중서림 엣센스 한일사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,4.790,2,,
w_903e8fadc198294e,N1,業界,ぎょうかい,ぎょうかい,업계;동업자의 사회,noun,A,会社，大学，業界などが現代日本の代表的な「世間」で，それは西欧��「社会」とはたしかに別ものだから，先人はソサエティーの訳語に苦慮したのである,회사·대학·업계 등이 현대 일본의 대표적인 ‘세상’이며 그것은 서유럽의 ‘사회’와는 분명히 다른 것이므로 선인은 소사이어티의 역어에 고심하였던 것이다.,,NAVER 일본어사전 · 민중서림 엣센스 외래어사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,4.780,2,,
w_900a6457bdb10eef,N1,仕様,しよう,しよう,"할 도리;수단, 특히, 만드는 물품에 관해 요구되는 특정 형상·구조·치수·성분·정밀도·성능·제조법·시험 방법 등의 규정",noun,A,"住所が分からないので,連絡の仕様がございません.",주소를 모르기 때문에 연락할 방법이 없습니다,,NAVER 일본어사전 · 민중서림 엣센스 한일사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,4.770,2,,
